Sr No,Date,Hijri Date,Description,Type,Time to,Time From,Duration in hours,Total Hours,Remarks
66,05-05-25,08-Zilqad-al-Haraam-1446,NS Tafreeh Talks,Nashat Saqafi,4:00 pm,4:35 pm,0:35:00,"HW3, Podium, Main screen",
67,09-05-25,12-Zilqad-al-Haraam-1446,تدوين الحديث -Tadween al hadees Talabat,Rehearsal,3:45 pm,4:45 pm,1:00:00,,
69,10-05-25,13-Zilqad-al-Haraam-1446,Tareekh o Tadween il Hadees,Jameiyah Ula,12:15 pm,1:20 pm,1:05:00,"Podium, HH1, HH2, HH3, HH4, Main screen, HW",
70,14-05-25,17-Zilqad-al-Haraam-1446,MMB talebaat TGM,TGM,5:00 pm,6:10 pm,1:10:00,Main Screen,
71,15-05-25,18-Zilqad-al-Haraam-1446,Kutama Muzakeraat,Jameiyah Saniya,2:00 pm,3:30 pm,1:30:00,,
72,15-05-25,18-Zilqad-al-Haraam-1446,Mazar Talks,Nashat Saqafi,4:00 pm,5:00 pm,1:00:00,,
73,17-05-25,20-Zilqad-al-Haraam-1446,Poetry Talks ,Nashat Saqafi,12:15 pm,1:20 pm,1:05:00,"HW , HW, Main screen, Podium",
74,19-05-25,22-Zilqad-al-Haraam-1446,جلسات المناقشات العلمية Munaqasha,Munaqasha,3:15 pm,4:40 pm,1:25:00,"3x Gooseneck mics, HH1, HH2, Main screen",
75,21-05-25,24-Zilqad-al-Haraam-1446,جلسات المناقشات العلمية Munaqasha,Munaqasha,3:15 pm,4:40 pm,1:25:00,"3x Gooseneck mics, HH1, HH2,  Main screen",
76,22-05-25,25-Zilqad-al-Haraam-1446,جلسات المناقشات العلمية Munaqasha,Munaqasha,3:15 pm,5:00 pm,1:45:00,"3x Gooseneck mics, HH1, HH2,  Main screen",
77,29-05-25,02-Zil Hijja-al-Haraam-1446,Malasiyan PR Visit,Visit,11:15 am,11:55 am,0:40:00,"Main screen, Podium",
78,30-05-25,03-Zil Hijja-al-Haraam-1446,Saire ilmi,TGM,4:40 pm,6:00 pm,1:20:00,Main screen,
79,31-05-25,04-Zil Hijja-al-Haraam-1446,ميزة منهج كتاب النجاح في الققه الاسلامي - Kitab al Najah ,Jameiyah Ula,12:15 pm,1:30 pm,1:15:00,"HW1, HW2, Podium, Main screen",
80,01-06-25,06-Zil Hijja-al-Haraam-1446,1446-12-06 _NS-Book Restoration-Shk Mohammed bh Rampurawala,Nashat Saqafi,4:00 am,4:45 am,0:45:00,,
81,03-06-25,08-Zil Hijja-al-Haraam-1446,جلسات المناقشات العلمية Munaqasha,Munaqasha,3:15 pm,5:00 pm,1:45:00,,
82,17-06-25,21-Zil Hijja-al-Haraam-1446,Ashara Ohbat Talebaat,Shuoon Amma,2:45 pm,4:00 pm,1:15:00,"Podium, Main Screen",
83,12-07-25,17-Moharram-1447,Hormesis ,Nashat Saqafi,12:00 pm,1:30 pm,1:30:00,"Podium, Main Screen, HW3, HH3, HH4, Airmedia",
84,15-07-25,20-Moharram-1447,Waaz Istibsaar AM47,Taleem barnamaj,4:00 pm,5:00 pm,1:00:00,"HW1, HW2, Main screen, Airmedia",
85,16-07-25,21-Moharram-1447,Waaz Istibsaar AM47,Taleem barnamaj,4:00 pm,5:00 pm,1:00:00,"HW1, HW2, Main screen, Airmedia",
86,17-07-25,23-Moharram-1447,Maqala Talkhees,Jameiyah Ula,2:00 pm,3:30 pm,1:30:00,,
87,17-07-25,22-Moharram-1447,Waaz Istibsaar AM47,Taleem barnamaj,4:00 pm,5:00 pm,1:00:00,"HW1, HW2, Main screen, Airmedia",
88,18-07-25,23-Moharram-1447,Waaz Istibsaar AM47,Taleem barnamaj,4:00 pm,5:00 pm,1:00:00,"HW1, HW2, Main screen, Airmedia",
89,19-07-25,24-Moharram-1447,Coastal Connections,Nashat Saqafi,12:00 pm,1:30 pm,1:30:00,"HW1, Main screen, Airmedia",
90,21-07-25,26-Moharram-1447,Waaz Istibsaar AM47,Taleem barnamaj,4:00 pm,5:00 pm,1:00:00,"HW1, Main screen, Airmedia",
